市区,新增,现有,累计,治愈,死亡
万州区,0,0,118,114,4
江北区,0,0,28,28,0
云阳县,0,0,25,25,0
境外输入,0,0,25,25,0
綦江区,0,0,23,23,0
合川区,0,0,23,23,0
奉节县,0,0,22,22,0
长寿区,0,0,22,22,0
忠县,0,0,21,21,0
开州区,0,0,21,20,1
九龙坡区,0,0,21,20,1
垫江县,0,0,20,20,0
渝中区,0,0,20,20,0
潼南区,0,0,18,18,0
两江新区,0,0,17,17,0
渝北区,0,0,17,17,0
南岸区,0,0,15,15,0
石柱县,0,0,15,15,0
大足区,0,0,14,14,0
巫溪县,0,0,14,14,0
丰都县,0,0,10,10,0
巫山县,0,0,10,10,0
铜梁区,0,0,10,10,0
璧山区,0,0,9,9,0
荣昌区,0,0,9,9,0
沙坪坝区,0,0,9,9,0
大渡口区,0,0,7,7,0
江津区,0,0,6,6,0
巴南区,0,0,6,6,0
永川区,0,0,5,5,0
涪陵区,0,0,5,5,0
梁平区,0,0,4,4,0
高新区,0,0,4,4,0
城口县,0,0,2,2,0
黔江区,0,0,2,2,0
彭水县,0,0,2,2,0
武隆区,0,0,1,1,0
秀山县,0,0,1,1,0
酉阳县,0,0,1,1,0
万盛经开区,0,0,1,1,0
