区域,新增,现有,累计,治愈,死亡
台湾,0,1805,16394,13742,847
内蒙古,0,139,557,417,1
云南,3,94,1561,1465,2
香港,0,91,12337,12033,213
甘肃,0,63,263,198,2
上海,3,51,2712,2654,7
广东,4,35,3221,3178,8
北京,3,35,1157,1113,9
浙江,0,33,1473,1439,1
广西,3,33,334,299,2
山东,0,30,974,937,7
宁夏,2,26,103,77,0
河南,0,23,1558,1513,22
福建,0,21,1302,1280,1
陕西,0,21,697,673,3
天津,0,13,503,487,3
黑龙江,9,12,1723,1698,13
四川,0,12,1222,1207,3
贵州,0,11,158,145,2
湖北,0,10,68306,63784,4512
湖南,0,8,1197,1185,4
辽宁,0,8,466,456,2
澳门,0,5,77,72,0
河北,0,4,1321,1310,7
江苏,0,3,1600,1597,0
吉林,0,3,577,571,3
青海,0,1,19,18,0
安徽,0,0,1008,1002,6
新疆,0,0,981,978,3
江西,0,0,937,936,1
重庆,0,0,603,597,6
山西,0,0,260,260,0
海南,0,0,190,184,6
西藏,0,0,1,1,0
